name,slug,value,date_of_information,ranking,region
"Kyrgyzstan","kyrgyzstan","28","2025",123,"Central Asia"
"Belize","belize","27","2025",124,"Central America and the Caribbean"
"Malawi","malawi","27","2025",125,"Africa"
"El Salvador","el-salvador","27","2025",126,"Central America and the Caribbean"
"Niger","niger","26","2025",127,"Africa"
"Fiji","fiji","26","2025",128,"Australia and Oceania"
"Greenland","greenland","25","2025",129,"North America"
"Mauritania","mauritania","25","2025",130,"Africa"
"Turkmenistan","turkmenistan","23","2025",131,"Central Asia"
"Georgia","georgia","21","2025",132,"Central Asia"
"Kiribati","kiribati","21","2025",133,"Australia and Oceania"
"New Caledonia","new-caledonia","21","2025",134,"Australia and Oceania"
"Senegal","senegal","20","2025",135,"Africa"
"Puerto Rico","puerto-rico","20","2025",136,"Central America and the Caribbean"
"Maldives","maldives","20","2025",137,"South Asia"
"Jamaica","jamaica","20","2025",138,"Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","20","2025",139,"Europe"
"Laos","laos","20","2025",140,"East and Southeast Asia"
"Liberia","liberia","19","2025",141,"Africa"
"Tajikistan","tajikistan","19","2025",142,"Central Asia"
"Jordan","jordan","18","2025",143,"Middle East"
"Sri Lanka","sri-lanka","18","2025",144,"South Asia"
"Bangladesh","bangladesh","17","2025",145,"South Asia"
"Haiti","haiti","17","2025",146,"Central America and the Caribbean"
"Eswatini","eswatini","16","2025",147,"Africa"
"Guinea","guinea","16","2025",148,"Africa"
"Seychelles","seychelles","16","2025",149,"Africa"
"Cyprus","cyprus","14","2025",150,"Europe"
"Tunisia","tunisia","14","2025",151,"Africa"
"North Macedonia","north-macedonia","13","2025",152,"Europe"
"Cambodia","cambodia","12","2025",153,"East and Southeast Asia"
"Armenia","armenia","11","2025",154,"Central Asia"
"Eritrea","eritrea","11","2025",155,"Africa"
"Ghana","ghana","11","2025",156,"Africa"
"Timor-Leste","timor-leste","11","2025",157,"East and Southeast Asia"
"Cabo Verde","cabo-verde","10","2025",158,"Africa"
"Benin","benin","10","2025",159,"Africa"
"Moldova","moldova","10","2025",160,"Europe"
"Djibouti","djibouti","10","2025",161,"Africa"
"Cook Islands","cook-islands","10","2025",162,"Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","9","2025",163,"Central America and the Caribbean"
"Singapore","singapore","9","2025",164,"East and Southeast Asia"
"Rwanda","rwanda","8","2025",165,"Africa"
"Qatar","qatar","8","2025",166,"Middle East"
"Sierra Leone","sierra-leone","8","2025",167,"Africa"
"Lebanon","lebanon","8","2025",168,"Middle East"
"Micronesia, Federated States of","micronesia-federated-states-of","7","2025",169,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","7","2025",170,"Africa"
"Equatorial Guinea","equatorial-guinea","7","2025",171,"Africa"
"Togo","togo","7","2025",172,"Africa"
"Burundi","burundi","6","2025",173,"Africa"
"Kuwait","kuwait","6","2025",174,"Middle East"
"Tonga","tonga","6","2025",175,"Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5","2025",176,"Central America and the Caribbean"
"Mauritius","mauritius","5","2025",177,"Africa"
"Montenegro","montenegro","5","2025",178,"Europe"
"Samoa","samoa","4","2025",179,"Australia and Oceania"
"Bhutan","bhutan","4","2025",180,"South Asia"
"Isle of Man","isle-of-man","4","2025",181,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","4","2025",182,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","4","2025",183,"Australia and Oceania"
"French Southern and Antarctic Lands","french-southern-and-antarctic-lands","4","2025",184,"Antarctica"
"Albania","albania","3","2025",185,"Europe"
"Guam","guam","3","2025",186,"Australia and Oceania"
"Cayman Islands","cayman-islands","3","2025",187,"Central America and the Caribbean"
"Palau","palau","3","2025",188,"Australia and Oceania"
"Bahrain","bahrain","3","2025",189,"Middle East"
"Comoros","comoros","3","2025",190,"Africa"
"American Samoa","american-samoa","3","2025",191,"Australia and Oceania"
"Trinidad and Tobago","trinidad-and-tobago","3","2025",192,"Central America and the Caribbean"
"Luxembourg","luxembourg","3","2025",193,"Europe"
"British Virgin Islands","british-virgin-islands","3","2025",194,"Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","2","2025",195,"Africa"
"Kosovo","kosovo","2","2025",196,"Europe"
"Wallis and Futuna","wallis-and-futuna","2","2025",197,"Australia and Oceania"
"Brunei","brunei","2","2025",198,"East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","2","2025",199,"Africa"
"Dominica","dominica","2","2025",200,"Central America and the Caribbean"
"Paracel Islands","paracel-islands","2","2025",201,"East and Southeast Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","2","2025",202,"North America"
"Grenada","grenada","2","2025",203,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","2","2025",204,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","2","2025",205,"Central America and the Caribbean"
"Guernsey","guernsey","2","2025",206,"Europe"
"United States Pacific Island Wildlife Refuges","united-states-pacific-island-wildlife-refuges","2","2025",207,"Australia and Oceania"
"Virgin Islands","virgin-islands","2","2025",208,"Central America and the Caribbean"
"Hong Kong","hong-kong","2","2025",209,"East and Southeast Asia"
"Macau","macau","1","2025",210,"East and Southeast Asia"
"West Bank","west-bank","1","2025",211,"Middle East"
"Barbados","barbados","1","2025",212,"Central America and the Caribbean"
"Saint Barthelemy","saint-barthelemy","1","2025",213,"Central America and the Caribbean"
"Tuvalu","tuvalu","1","2025",214,"Australia and Oceania"
"San Marino","san-marino","1","2025",215,"Europe"
"Norfolk Island","norfolk-island","1","2025",216,"Australia and Oceania"
"Gibraltar","gibraltar","1","2025",217,"Europe"
"Montserrat","montserrat","1","2025",218,"Central America and the Caribbean"
"Cocos (Keeling) Islands","cocos-keeling-islands","1","2025",219,"Australia and Oceania"
"Malta","malta","1","2025",220,"Europe"
"Aruba","aruba","1","2025",221,"Central America and the Caribbean"
"Curacao","curacao","1","2025",222,"Central America and the Caribbean"
"Gambia, The","gambia-the","1","2025",223,"Africa"
"Niue","niue","1","2025",224,"Australia and Oceania"
"Anguilla","anguilla","1","2025",225,"Central America and the Caribbean"
"Wake Island","wake-island","1","2025",226,"Australia and Oceania"
"Nauru","nauru","1","2025",227,"Australia and Oceania"
"British Indian Ocean Territory","british-indian-ocean-territory","1","2025",228,"South Asia"
"Faroe Islands","faroe-islands","1","2025",229,"Europe"
"Christmas Island","christmas-island","1","2025",230,"Australia and Oceania"
"Saint Martin","saint-martin","1","2025",231,"Central America and the Caribbean"
"Bermuda","bermuda","1","2025",232,"North America"
"Sint Maarten","sint-maarten","1","2025",233,"Central America and the Caribbean"
"Jersey","jersey","1","2025",234,"Europe"
